Folder,PDF Name,Issue Date,PDF Link
Master Circulars,Master Circular on Surveillance of Securities Market,"Jul 09, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/jul-2024/1720528330792.pdf
Master Circulars,Master Circular for Mutual Funds,"Jun 27, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/jun-2024/1719488538007.pdf
Master Circulars,Master Circular for Electronic Gold Receipts (EGRs),"Jun 24, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/jun-2024/1719227438473.pdf
Master Circulars,Master Circular for Portfolio Managers,"Jun 07, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/jun-2024/1717762752754.pdf
Master Circulars,"Guidelines on Anti-Money Laundering (AML) Standards and Combating the Financing of Terrorism (CFT) /Obligations of Securities Market Intermediaries under the Prevention of Money Laundering Act, 2002 and Rules framed there under.","Jun 06, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/jun-2024/1717664538363.pdf
Master Circulars,Master Circular for Bankers to an Issue,"Jun 03, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/jun-2024/1717415901263.pdf
Master Circulars,"Master Circular for Foreign Portfolio Investors, Designated Depository Participants and Eligible Foreign Investors.","May 30, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1717066343989.pdf
Master Circulars,"Master Circular for issue and listing of Non-convertible Securities, Securitised Debt Instruments, Security Receipts, Municipal Debt Securities and Commercial Paper","May 22, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1716379377576.pdf
Master Circulars,Master Circular for Stock Brokers,"May 22, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1716371484396.pdf
Master Circulars,Master Circular for Investment Advisers,"May 21, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1716290710767.pdf
Master Circulars,Master Circular for Research Analysts,"May 21, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1716290553655.pdf
Master Circulars,"Master Circular for listing obligations and disclosure requirements for Non-convertible Securities, Securitized Debt Instruments and/ or Commercial Paper","May 21, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1716288065249.pdf
Master Circulars,Master Circular for ESG Rating Providers (ERPs),"May 16, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715855635985.pdf
